정답,유사답안,문제,출제연도,문제소분류,문제대분류,비고,Status,담당자,마감일
자산,,조직의 데이터 또는 조직의 소유자가 가치를 부여한 대상이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
고유 식별번호,,"( )는 주민등록번호, 여권번호, 운전면허번호, 외국인등록번호이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
사용자,,( )는 정보처리 기기 및 시스템을 활용해 자산을 사용하는 사람 또는 기관이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
임계점(Threshold),,처리량이 더는 증가하지 않거나 CPU 이용률이나 메모리 사용량이 비정상적으로 증가하는 지점이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
관리자,,( )는 자산의 소유자로부터 관리위임을 받은 자이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
솔트(Salt),,( )란 일방향 해시 함수에서 다이제스트를 생성할 때 추가되는 바이트 단위의 임의의 문자열이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
MS-SDL,,( ) 방법론은 마이크로소프트에서 안전한 소프트웨어를 개발하기 위해 자체 수립한 개발 보안 방법론이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
입력데이터 검증 및 표현,,"( )은 프로그램 입력값에 대한 검증 누락, 부적절한 검증, 데이터의 잘못된 형식지정 등으로 인해 발생하는 보안 약점이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
크로스사이트 스크립트(XSS),,( )는 웹 페이지에 악의적인 스크립트를 포함시켜 사용자 측에서 실행되게 유도할 수 있는 공격기법이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
경쟁조건,,( )은 메모리가 공유되는 하나의 객체에 두 개 이상의 스레드가 동시에 값을 변경하려고 할 때 발생되는 성능 저하의 문제점이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
패스워드 크래킹(Password Cracking),,( )은 사전(Dictionary) 크래킹과 무차별(Brute Force) 크래킹 방법을 사용해 네트워크 패스워드를 탐색하는 공격이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
SHA(Secure Hash Algorithm),,"( )은 미국 국가안보국(NSA)이 1993년에 처음으로 설계했으며, 미국 국가 표준으로 지정된 해시 암호화 알고리즘이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
휴리스틱(Heuristics),,경험에 기반하여 문제를 해결하거나 학습하거나 발견해내는 방법이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
테스트 차터(Test Charter),,수행될 각 테스트 세션에 대해 명확한 임무를 설정해 놓은 명령지이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
회고(Debriefing),,탐색적 테스팅 세션 종료 후 팀원끼리 요약보고 시간을 갖고 테스트 수행 과정과 경험을 팀원과 공유하는 보고 회의이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
V 모델,,SW 생명주기 각 단계별로 개발자 관점에서의 공정 과정상 검증과 사용자 관점에서의 최종 산출물에 대한 확인을 지원하기 위한 테스트 모델이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
가상 머신(Virtual Machine),,"컴퓨터상에 가상으로 컴퓨터를 구동시키는 것으로 물리적인 하드웨어를 가상화하여, 하나의 물리적 하드웨어 상에서 여러 컴퓨터가 구동되는 것처럼 에뮬레이션하는 것이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
에뮬레이션(Emulation),,한 컴퓨터가 다른 컴퓨터처럼 똑같이 작동하도록 소프트웨어나 마이크로 프로그래밍을 사용하는 기법이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
VLAN,,논리적으로 분할된 스위치 네트워크나 가상 기능을 가진 LAN 스위치 또는 ATM 스위치를 사용해서 물리적인 배선에 구애받지 않고 브로드캐스트 패킷이 전달되는 범위를 임의로 나누는 네트워크 기술이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
소프트웨어 테스트(Test),,"( )란 개발된 응용 애플리케이션이나 시스템이 사용자가 요구하는 기능과 성능, 사용성, 안정성 등을 만족하는지 확인하고, 노출되지 않은 숨어 있는 소프트웨어의 결함을 찾아내는 활동이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
테스트 시나리오(Test Scenario),,"소프트웨어 테스트 산출물 중에서 애플리케이션의 테스트 되어야 할 기능 및 특징, 테스트가 필요한 상황을 작성한 문서는 무엇인가?",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
테스트 슈트(Test Suites),,"Test Case를 실행환경에 따라 구분해 놓은 Test Case의 집합
시나리오가 포함되지 않은 단순한 테스트 케이스들의 모음",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
테스트 스크립트(Test Script),,"테스트 케이스의 실행 순서(절차)를 작성한 문서
테스트 스텝(Test Step), 테스트 절차서(Test Procedure)라고도 함",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
오류-부재의 궤변,,"요구사항을 충족시켜주지 못한다면, 결함이 없다고 해도 품질이 높다고 볼 수 없는 소프트웨어 테스트 원리이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
동적 테스트,,"프로그램 실행 여부에 따른 테스트의 분류 중 소프트웨어를 실행하는 방식으로 테스트를 수행하여 결함을 검출하는 테스트로 유형에는 화이트박스 테스트, 블랙 박스 테스트와 경험 기반 테스트가 있는 테스트를 무엇이라고 하는가?",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
결정 커버리지(Decision Coverage),"선택 커버리지, 분기 커버리지(Branch Coverage)",결정 포인트 내의 전체 조건식이 적어도 한 번은 참(T)과 거짓(F)의 결과를 수행하는 테스트 커버리지를 무엇이라고 하는가?,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
다중 조건 커버리지(Multiple Condition Coverage),,결정 조건 내 모든 개별 조건식의 모든 가능한 조합을 100% 보장하는 커버리지 테스트,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
데이터 흐름 테스트(Data Flow Testing),,제어 흐름 그래프에 데이터 사용현황을 추가한 그래프를 통해 테스트하는 기법,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
인수 테스트,,"사용자가 실제로 사용될 환경에서 요구사항들이 모두 충족되는지 사용자의 입장에서 확인하는 테스트로 알바, 베타 테스트가 있다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
강도(Stress) 테스트,,"시스템 처리 능력 이상의 부하, 즉 임계점 이상의 부하를 가하여 비정상적인 상황에서의 처리를 테스트하는 기법이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
회귀(Regression) 테스트,,오류를 제거하거나 수정한 시스템에서 오류 제거와 수정에 의해 새로이 유입된 오류가 없는지 확인하는 일종의 반복 테스트 기법이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
상태 전이 테스트(State Transition Testing),,"( )는 테스트 대상이 되는 시스템이나 객체의 상태를 구분하고, 이벤트에 의해 어느 한 상태에서 다른 상태로 전이되는 경우의 수를 수행하는 테스트 기법이다.",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
페어와이즈 테스트(Pairwise Testing),,"테스트 데이터값들 간에 최소한 한 번씩을 조합하는 방식이며, 이는 커버해야 할 기능적 범위를 모든 조합에 비해 상대적으로 적은 양의 테스트 세트를 구성하기 위한 테스트 기법",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
원인-결과 그래프 테스트(Cause-Effect Graph Testing),,그래프를 활용하여 입력 데이터 간의 관계 및 출력에 미치는 영향을 분석하여 효용성이 높은 테스트 케이스를 선정하여 테스트하는 기법,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
부하 테스트(Load Testing),,"시스템에 사용량을 계속 증가시키면서 시스템의 임계점을 찾는 테스트
병목 지점을 찾아서 병목 현상을 제거하는 과정을 반복하여 성능 개선 가능",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
스파이크 테스트(Spike Testing),,짧은 시간에 사용자가 몰릴 때 시스템의 반응 측정 테스트,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
오류 추정(Error Guessing),,개발자가 범할 수 있는 실수를 추정하고 이에 따른 결함이 검출되도록 테스트 케이스를 설계하여 테스트하는 기법,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
테스트 오라클(Test Oracle),,테스트의 결과가 참인지 거짓인지를 판단하기 위해서 사전에 정의된 참값을 입력하여 비교하는 기법이다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
단위 테스트,,"사용자 요구사항에 대한 단위 모듈, 서브루틴 등을 테스트하는 단계
인터페이스 테스트, 자료 구조 테스트, 실행 경로 테스트, 오류 처리 테스트 등의 기법이 존재",기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
시스템 테스트,,통합된 단위 시스템의 기능이 시스템에서 정상적으로 수행되는지를 검증하는 테스트로 기능/비기능 요구사항 테스트 기법이 있다.,기출 예상 문제,애플리케이션 테스트 케이스 설계,애플리케이션 테스트 관리,,시작 전,,
깊이-우선(Depth-First),,루트 노드(혹은 다른 임의의 노드)에서 시작해서 다음 분기(branch)로 넘어가기 전에 해당 분기를 완벽하게 탐색하는 방법이다.,기출 예상 문제,애플리케이션 통합 테스트,애플리케이션 테스트 관리,,시작 전,,
너비-우선(Breadth-First),,루트 노드(혹은 다른 임의의 노드)에서 시작해서 인접한 노드를 먼저 탐색하는 방법이다.,기출 예상 문제,애플리케이션 통합 테스트,애플리케이션 테스트 관리,,시작 전,,
민감 정보,,"( )는 유전자 검사정보, 범죄경력정보 등 정보 주체의 사생활을 현저하게 침해할 수 있는 정보로 사상, 신념, 노동조합, 정치적 견해 등이 해당한다.",기출 예상 문제,애플리케이션 통합 테스트,애플리케이션 테스트 관리,,시작 전,,
LDAP(Lightweight Directory Access Protocol),,( )는 사용자 정보를 유지를 위한 질의 및 디렉터리 서비스를 수정하기 위한 인터넷 프로토콜을 가리킨다.,기출 예상 문제,애플리케이션 통합 테스트,애플리케이션 테스트 관리,,시작 전,,
